captainName,rank,nationality,company,Image
William Cleverley,Captain,British,RN,
Willem Vrugt,Kapitein,Dutch,VOC,
Jos de las Casas,Capitan,Spanish,,
C. Eeg,KLtz,Dutch,ADM,
Lodewijk Grave van Bijland,Kapitein,Dutch,ADM,
Joseph Knight,Captain,British,RN,
Christpher Rigby,Captain,British,RN,
Robert Jocelyn,Captain,British,RN,
M. Du Le Large,Cdt.,French,,
Charles Foulis,Captain,British,EIC,
R.W Taylor,Captain,British,RN,
M de Voutron,Cdt.,French,,
Francisco de Llanos,Capitan,Spanish,,
ALEJO GUTI_RREZ DE RUBALCABA,CAPITAN,Spanish,,
JUAN PUJADAS,CAPITN,Spanish,,
Captain Colville,Captain,British,RN,
M. Naisseau de Canilliac,Cdt.,French,,
Patrick Drummond,Captain,British,RN,
Philip Dundas,Captain,British,EIC,
Henry William Bayntun,Captain,British,RN,
De Cumont,"Cdt,",French,,
George Watson,Captain,British,RN,
Simon Hoogerzeyl,Commandeur,Dutch,WHA,
JOAQUN MARA SIERRA,CAPITAN,Spanish,,
Jacob Waller,Captain,British,RN,
S.A. Overvelt,Ktz,Dutch,MAR,
Thomas Surridge,Captain,British,RN,
George Oakes,Captain,British,RN,
De Razily,Cdt.,French,,
J.T.C. Wardenburg,Kapitein,Dutch,MAR,
Robert Rolles,Captain,British,RN,
CARLOS BADIN,CAPITAN,Spanish,,
B.H. Haring,LtZ,Dutch,MAR,
Johan Friedrich Dalman,,Swedish,Swedish East India Company,
Cayetano Antunez,Capitan,Spanish,,
A. J. van Halm,Luitenant,Dutch,ADM,
Issac Coffin,Captain,British,RN,
Thomas Taylor,Captain,British,RN,
H.W. de Quartel,KLtz,Dutch,ADM,
John Botterell,Captain,British,RN,
James Athol Wood,Captain,British,RN,
Dirk Hallersteede,Schrijver,Dutch,ADM,
A. van der Harst,Kapitein,Dutch,,
Richard Strachan,Captain,British,RN,
Isaac van Kervel,KLtz,Dutch,MAR,
Charles Raill,Captain,British,EIC,
M. De la Rochefoucault,Cdt.,French,,
R. Edwards,Captain,British,RN,
Thomas Leef,Captain,British,RN,
J.J. van Hoeij,Kapitein,Dutch,ADM,
William Mitchell,Captain,British,RN,
Van der Gon,Kapitein,Dutch,ADM,
Jacobus Arkenbout,KtZ,Dutch,VOC,
A. Bezemer,Kapitein,Dutch,,
Thomas Hankenson,Captain,British,RN,
Walter Bathurst,Captain,British,RN,
Tyringham Howe,Captain,British,RN,
DOMINGO COLOMBO,CAPITAN,Spanish,,
A.C. van Braam Nouhgeest,KltZ,Dutch,MAR,
C.L. M_ller,,Dutch,MAR,
J.G.J. Diemer,Kapitein,Dutch,ADM,
Thomas Tolson,Captain,British,EIC,
John Paiba,Captain,British,EIC,
,,Spanish,,
David Milne,Captain,British,RN,
Henry Duncan,Captain,British,RN,
H. de Wijn,,Dutch,,
W.O. Bloys van Treslong,,Dutch,MAR,
Cornelis Van Kakom,Schipper,Dutch,MCC,
Edward LeCras,Captain,British,RN,
Burnet Abercromby,Captain,British,EIC,
FRANSCISCO MELGAREJO,CAPITAN,Spanish,,
